pesticide_name,active_ingredient,crop,target_pest_or_disease,pre_harvest_interval_days,safe_dosage,precautions
Fosetyl-Al 80% WP,fosetyl-aluminium,,"Downy mildew, damping off",7,2 g/litre water,"Do not tank-mix with copper or foliar fertilisers."
Azoxystrobin 23% SC,azoxystrobin,,"Blast, sheath blight, anthracnose, powdery mildew",14,1 ml/litre water,"Highly toxic to fish; maintain buffer zone near water bodies."
Kresoxim-methyl 44.3% SC,kresoxim-methyl,,"Powdery mildew, scab",7,0.5-1 ml/litre water,"Limit number of strobilurin sprays per season."
Tebuconazole 25.9% EC,tebuconazole,,"Rusts, powdery mildew, sheath blight, tikka leaf spot",21,1 ml/litre water,"Wear full protective clothing; may affect crop growth at high doses."
Propiconazole 25% EC,propiconazole,,"Rusts, sheath blight, leaf spots, Sigatoka",30,1 ml/litre water,"Long pre-harvest interval; do not apply near harvest."
Difenoconazole 25% EC,difenoconazole,,"Early blight, leaf spots, powdery mildew, scab",10,0.5 ml/litre water,"Wear gloves and mask; avoid inhalation of spray mist."
Hexaconazole 5% EC,hexaconazole,,"Sheath blight, powdery mildew, rust",30,2 ml/litre water,"Long PHI; strictly observe waiting period on grapes and vegetables."
Sulphur 80% WP,sulphur,,"Powdery mildew, mites",1,2-3 g/litre water,"Do not apply when temperature is above 32 C or within 2 weeks of an oil spray - risk of scorch."
Wettable Sulphur 80% WG,sulphur,,"Powdery mildew, mites, scab",1,2-3 g/litre water,"Avoid application in hot weather; do not mix with oils."
Tricyclazole 75% WP,tricyclazole,rice,Rice blast (neck and leaf),21,0.6 g/litre water,"Do not use on crops other than rice; observe 21-day waiting period."
Propineb 70% WP,propineb,,"Downy mildew, early blight, leaf spots",7,3 g/litre water,"Contains zinc; wear gloves and mask."
Fluopicolide 4.44% + Propamocarb HCl 66.75% SC,fluopicolide + propamocarb,,"Late blight, downy mildew",5,1.5-2 ml/litre water,"Preventive use preferred; do not exceed label sprays."
Pyraclostrobin 5% + Metiram 55% WG,pyraclostrobin + metiram,,"Downy mildew, early and late blight",14,1.5-2 g/litre water,"Toxic to aquatic organisms; avoid drift to water."
Imidacloprid 17.8% SL,imidacloprid,,"Aphids, jassids, whitefly, thrips, hoppers",21,0.3 ml/litre water,"Highly toxic to bees - do not spray on flowering crop or during bee activity hours."
Imidacloprid 17.8% SL,imidacloprid,cotton,"Jassids, aphids, whitefly",40,0.3 ml/litre water,"Do not spray during flowering; toxic to pollinators."
Thiamethoxam 25% WG,thiamethoxam,,"Aphids, jassids, whitefly, thrips, BPH",21,0.2-0.3 g/litre water,"Highly toxic to bees; avoid flowering-stage application."
Acetamiprid 20% SP,acetamiprid,,"Aphids, whitefly, thrips, hoppers",7,0.2 g/litre water,"Toxic to bees; do not spray on blooming crops."
Dinotefuran 20% SG,dinotefuran,,"BPH, WBPH, hoppers, aphids",7,0.3 g/litre water,"Avoid spraying during peak bee foraging."
Acephate 75% SP,acephate,,"Aphids, jassids, stem borer, shoot and fruit borer",10,1-1.5 g/litre water,"Moderately hazardous; wear gloves, mask and full clothing; strong odour."
Chlorpyriphos 20% EC,chlorpyriphos,,"Termites, stem borer, cutworm, aphids",15,2-2.5 ml/litre water,"Do not use on vegetables close to harvest; toxic to fish and bees; banned for some uses - check current label."
Quinalphos 25% EC,quinalphos,,"Stem borer, leaf folder, pod borer, aphids",20,2 ml/litre water,"Highly toxic; strict 20-day waiting period; wear full PPE."
Profenofos 50% EC,profenofos,cotton,"Bollworm, whitefly, jassids, mites",21,2 ml/litre water,"Highly toxic to fish and bees; not for use on vegetables."
Dimethoate 30% EC,dimethoate,,"Aphids, jassids, mites, shoot fly",15,1.5-2 ml/litre water,"Systemic and toxic; observe waiting period; do not use on cauliflower and some vegetables near harvest."
Lambda-cyhalothrin 5% EC,lambda-cyhalothrin,,"Bollworm, pod borer, aphids, thrips",5,1 ml/litre water,"Very toxic to fish and bees; avoid water contamination."
Lambda-cyhalothrin 5% EC,lambda-cyhalothrin,cotton,"Bollworm complex, sucking pests",21,1 ml/litre water,"Do not graze livestock in treated fields; toxic to aquatic life."
Cypermethrin 25% EC,cypermethrin,,"Bollworm, fruit borer, defoliators",7,0.5-1 ml/litre water,"Toxic to bees and fish; do not spray during flowering."
Deltamethrin 2.8% EC,deltamethrin,,"Borers, aphids, jassids, defoliators",7,1 ml/litre water,"Toxic to aquatic life; keep away from ponds and streams."
Fenvalerate 20% EC,fenvalerate,,"Bollworm, pod borer, leaf-eating caterpillars",7,1 ml/litre water,"Toxic to bees and fish; use only when pest threshold is crossed."
Emamectin Benzoate 5% SG,emamectin benzoate,,"Bollworm, fruit and shoot borer, DBM, Spodoptera",7,0.4-0.5 g/litre water,"Toxic to bees for a few hours after spraying; spray in evening."
Spinosad 45% SC,spinosad,,"Bollworm, fruit borer, DBM, thrips, leaf miner",3,0.3 ml/litre water,"Relatively soft on beneficials once dry; still avoid direct spray on bees."
Chlorantraniliprole 18.5% SC,chlorantraniliprole,,"Stem borer, leaf folder, fruit and shoot borer, Spodoptera",5,0.3 ml/litre water,"Low toxicity to mammals and bees; still use PPE and observe PHI."
Flubendiamide 20% WG,flubendiamide,,"Fruit and shoot borer, pod borer, DBM",5,0.5 g/litre water,"Toxic to aquatic invertebrates; avoid runoff."
Indoxacarb 14.5% SC,indoxacarb,,"Bollworm, Spodoptera, DBM, fruit borer",5,0.5 ml/litre water,"Moderately toxic; wear gloves and mask; toxic to bees when wet."
Novaluron 10% EC,novaluron,,"Bollworm, DBM, leaf miner, whitefly nymphs",14,1 ml/litre water,"Insect growth regulator - slow acting; toxic to aquatic life."
Buprofezin 25% SC,buprofezin,,"Whitefly, BPH, mealybug, scale",14,1-2 ml/litre water,"Acts on nymphs; combine with adulticide if needed."
Spiromesifen 22.9% SC,spiromesifen,,"Whitefly, mites",5,1 ml/litre water,"Do not exceed two sprays per season; toxic to aquatic organisms."
Fenpyroximate 5% EC,fenpyroximate,,"Red spider mite, yellow mite",7,1-1.5 ml/litre water,"Miticide; toxic to fish; rotate acaricide groups."
Propargite 57% EC,propargite,,"Mites",14,1.5-2 ml/litre water,"Skin and eye irritant; can scorch crop in hot weather."
Fipronil 5% SC,fipronil,,"Stem borer, leaf folder, termites, thrips",14,1-2 ml/litre water,"Highly toxic to bees, fish and aquatic invertebrates; do not use near water."
Diafenthiuron 50% WP,diafenthiuron,,"Whitefly, mites, jassids, DBM",21,1.2 g/litre water,"Do not spray in very hot conditions; wear full PPE."
Pymetrozine 50% WG,pymetrozine,,"Whitefly, aphids, hoppers (BPH)",21,0.6 g/litre water,"Stops feeding quickly; low bee toxicity but still avoid direct spray."
Malathion 50% EC,malathion,,"Aphids, mealybug, mites, grasshopper",7,2 ml/litre water,"Strong odour; moderately toxic; wear mask; do not spray near beehives."
Neem Oil 1500 ppm (Azadirachtin 0.15% EC),azadirachtin,,"Sucking pests, early larval stages, repellent and antifeedant",0,3-5 ml/litre water,"Safe with short interval; spray in cool hours to avoid leaf burn; still avoid eye contact."
Azadirachtin 5% (Neem 50000 ppm),azadirachtin,,"Whitefly, thrips, aphids, mites, caterpillars",1,0.5-1 ml/litre water,"Bio-pesticide; low residue; store away from sunlight."
Bacillus thuringiensis var. kurstaki,bacillus thuringiensis,,"Caterpillars - bollworm, DBM, Spodoptera, borers",0,1-2 g/litre water,"Bio-pesticide; harmless to humans, bees and natural enemies; spray on young larvae in the evening."
Beauveria bassiana 1.15% WP,beauveria bassiana,,"Whitefly, thrips, mealybug, borers",0,5 g/litre water,"Bio-agent; keep spray solution out of direct sun; do not tank-mix with fungicides."
Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10% SP,streptomycin + tetracycline,,"Bacterial blight, bacterial wilt, canker",15,0.5 g/litre water,"Antibiotic - use only when bacterial disease is confirmed; do not overuse."
